sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
164969	AMIL21	AMILMAGF_trim_1.fastq.gz	7923e45f4397cab11a9e1e10c8c6e365cd8ea23fb0b109bb65aa4cbaf96686f0	AMILMAGF_trim_2.fastq.gz	941ac9bbb9bb3ea35e7c16d260237d9b9bd64734b20201a5e495cc5d4dd963f5	835	20230426T085852_jquijano	1.0863871768111375	1.027755351200205	0.00896953704980013	1.0268199988185023	0.008920307977078944	0.0009353523817025383	4.922907272118622e-05	0.0	0.0	1.0	6.892070180966072e-05	0	0	0.007640352086328102	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData
164963	AMIL15	AMILCANO_trim_1.fastq.gz	18b1d052da2e82d150f4b72b4cccc75622e0a0c8ba6447f7b9642c0c40464f14	AMILCANO_trim_2.fastq.gz	d59d8c79391690e9ac60c52f842a5bd7877fa15a875def12e7236a3aa1875448	835	20230426T085852_jquijano	1.0846372688477952	1.0200035561877667	0.008814265393212761	1.0186445844340581	0.008738061369640317	0.0013589717537085958	7.620402357244462e-05	0.0	0.0	1.0	8.890469416785207e-05	0	0	0.007976021133915871	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
164913	ADIG05	ADIG5_trim_1.fastq.gz	086c82677480fab8d7689e69840358db13941f6d7e6992a884f78cb9dca66a13	ADIG5_trim_2.fastq.gz	48ee9bda45a61d27fd497186347e1ee85262eccceaa27a93f905f261f3ef06b3	835	20230426T085852_jquijano	1.088587362329662	1.0262740339742393	0.007758540227739407	1.0254923464625723	0.0077002053388090345	0.0007816875116669778	5.833488893037148e-05	0.0	0.0	1.0	8.166884450252007e-05	0	0	0.00910024267313795	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
164978	AMIL30	AMILMAGO_trim_1.fastq.gz	3f15a0ab49de49e6a5871552ecbb6ab606a2e9783c9d47b5bba5b04ba1d24975	AMILMAGO_trim_2.fastq.gz	6bc4751532fb47e79382322d8f6143352d28fe5b5ee5f2b0b745b7720234ed87	835	20230426T085852_jquijano	1.114058393326477	1.0280682207747687	0.01145583361901497	1.0272683121928923	0.011398697291738088	0.000799908581876357	5.713632727688264e-05	0.0	0.0	1.0	9.998857273454462e-05	0	0	0.007584847446006171	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData
164968	AMIL20	AMILMAGE_trim_1.fastq.gz	bcb07a8122ff990744d8017f49c3bb5f9cb70cbfff205e5902005e09eeb3c5f5	AMILMAGE_trim_2.fastq.gz	cb2a40ee80fac0fafd8f7c045a036bb66165b4db2a277177d86607dec859ad05	835	20230426T085852_jquijano	1.1193742926685581	1.0235337891260872	0.012231989209804195	1.0229136629304063	0.012185479745128134	0.0006201261956808211	4.650946467606158e-05	0.0	0.0	1.0	0.00010852208424414369	0	0	0.009038339302047966	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.31487000	120.03128000	20211005	NoData
164915	ADIG07	ADIG7_trim_1.fastq.gz	e73218490562865fdd0fc41bd7533cd477c2d759d59415b548a8930c2ed85d63	ADIG7_trim_2.fastq.gz	41b0c71e0c8c139fb9d342f16c56ac2ba81a0520a51fdc7f04bde2a222e16092	835	20230426T085852_jquijano	1.1177914913817093	1.0279255536822118	0.0125877788872338	1.0268943052168078	0.01252230279419227	0.0010312484654040692	6.547609304152821e-05	0.0	0.0	1.0	0.00011458316282267437	0	0	0.009264867165376242	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
164951	AMIL03	AMILCANC_trim_1.fastq.gz	342caa713e7777c535ebc161ed195ef1a112fac4a5a7714d8c325894f2f0eecd	AMILCANC_trim_2.fastq.gz	d444f63813bfb6905d83c78774b1d7a5f92bbff5e31fc10777149683e418b769	835	20230426T085852_jquijano	1.0855204047855487	1.0249562585709557	0.00820447344777037	1.0234430415661795	0.008145363408521303	0.0015132170047760913	5.911003924906606e-05	0.0	0.0	1.0	8.275405494869249e-05	0	0	0.009067480020806734	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
164933	ADIG25	ADIG25_trim_1.fastq.gz	659073e1805c9d59c038e1dd75432aa2917e3b817f001c781482d3fb4c3951b2	ADIG25_trim_2.fastq.gz	d9317fa76814334050f97be998dfa7a7c8e7df41aba32307a6332bfc20c47a7d	835	20230426T085852_jquijano	1.07370738243614	1.01990769296212	0.007507922666269647	1.0189612267903099	0.007476019312163685	0.0009464661718101964	3.190335410596167e-05	0.0	0.0	1.0	7.444115958057724e-05	0	0	0.010092094348852543	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
164961	AMIL13	AMILCANM_trim_1.fastq.gz	02270f3b4f75c5132aa19ed4a4d222577f5eb9e6204f294426569b7bd0c9b81a	AMILCANM_trim_2.fastq.gz	51ee1e7bf38686bdb9cda3fa7159445394e634a0d8b4d82a3a44ea1b49817b87	835	20230426T085852_jquijano	1.0961327123345022	1.0289654089695954	0.01015228426395939	1.0271468941336543	0.010047621539588675	0.0018185148359411796	0.00010466272437071537	0.0	0.0	1.0	0.0001308284054633942	0	0	0.0071170652572086456	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 millepora	16.29466000	120.01467000	20211005	NoData
164943	ADIG35	ADIG35_trim_1.fastq.gz	88834ac39cde06edba3d053c43444114ab953fa6d1663900c91e8738b69d728a	ADIG35_trim_2.fastq.gz	7b529c8a3e3da88d6ff9492615acf9c481f21f4a9c5c398146e4dd836ba4aed4	835	20230426T085852_jquijano	1.090495169386777	1.0251872966223545	0.008639608505915294	1.0237242388315717	0.008563933102943773	0.0013369321191635346	6.306283580960069e-05	0.00012612567161920138	1.2612567161920138e-05	1.0	8.828797013344096e-05	0	0	0.006999974774865676	0	0	0	0	0	0	coral	Cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	 digitifera	16.31042000	120.02948000	20211027	NoData
