Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
MAGG,BT1,Post-exposure,Control,152.16,210.838,72.16915356814236
MAGG,BT1,Post-exposure,Control,156.17,210.721,74.11221472942896
MAGG,BT2,Post-exposure,Control,142.552,193.136,73.80912931820063
MAGG,BT2,Post-exposure,Control,109.749,200.094,54.84872110108249
MAGG,BT3,Post-exposure,Heat-stressed,155.147,197.281,78.64264678301508
MAGG,BT3,Post-exposure,Heat-stressed,102.158,205.634,49.67952770456248
MAGG,BT4,Post-exposure,Heat-stressed,136.442,190.257,71.71457554781165
MAGG,BT4,Post-exposure,Heat-stressed,131.345,200.559,65.48945696777507
MAGG,BT5,Post-exposure,Heat-stressed,124.914,182.554,68.42578086484
MAGG,BT5,Post-exposure,Heat-stressed,104.105,182.445,57.061032091863304
MAGG,BT6,Post-exposure,Control,67.76,190.673,35.537281104298984
MAGG,BT6,Post-exposure,Control,81.172,190.78,42.547436838243
MAGG,BT7,Post-exposure,Heat-stressed,92.855,185.182,50.14256245207418
MAGG,BT7,Post-exposure,Heat-stressed,195.892,190.698,102.72367827664684
MAGG,BT8,Post-exposure,Control,93.609,187.662,49.88170220929117
MAGG,BT8,Post-exposure,Control,57.401,197.644,29.042622088198982
MAGH,BT1,Post-exposure,Control,91.969,190.781,48.20658241648801
MAGH,BT1,Post-exposure,Control,120.764,190.834,63.28222434157434
MAGH,BT2,Post-exposure,Control,89.758,190.898,47.01882680803361
MAGH,BT2,Post-exposure,Control,81.02,200.067,40.496433694712266
MAGH,BT3,Post-exposure,Heat-stressed,98.886,204.089,48.45239086868964
MAGH,BT3,Post-exposure,Heat-stressed,132.764,204.393,64.95525776323065
MAGH,BT4,Post-exposure,Heat-stressed,108.777,194.026,56.063104944698125
MAGH,BT4,Post-exposure,Heat-stressed,110.141,203.169,54.21151848953334
MAGH,BT5,Post-exposure,Heat-stressed,134.699,187.193,71.95728472752721
MAGH,BT5,Post-exposure,Heat-stressed,108.046,186.703,57.87052163061118
MAGH,BT6,Post-exposure,Control,58.526,186.124,31.444628312307927
MAGH,BT6,Post-exposure,Control,104.298,186.242,56.001331600820436
MAGH,BT7,Post-exposure,Heat-stressed,220.614,198.214,111.30091719051127
MAGH,BT7,Post-exposure,Heat-stressed,193.104,198.589,97.23801419011124
MAGH,BT8,Post-exposure,Control,55.115,199.756,27.591161216684355
MAGH,BT8,Post-exposure,Control,72.934,209.434,34.82433606768719
MAGI,BT1,Post-exposure,Control,127.099,201.21,63.16733760747477
MAGI,BT1,Post-exposure,Control,127.366,201.356,63.25413695146904
MAGI,BT2,Post-exposure,Control,149.41,190.267,78.52649171953098
MAGI,BT2,Post-exposure,Control,145.207,190.385,76.27018935315282
MAGI,BT3,Post-exposure,Heat-stressed,154.275,208.827,73.87694120013218
MAGI,BT3,Post-exposure,Heat-stressed,140.392,209.059,67.15424832224396
MAGI,BT4,Post-exposure,Heat-stressed,139.923,190.766,73.34797605443319
MAGI,BT4,Post-exposure,Heat-stressed,133.271,199.193,66.9054635454057
MAGI,BT5,Post-exposure,Heat-stressed,106.738,186.675,57.17851881612428
MAGI,BT5,Post-exposure,Heat-stressed,124.137,196.418,63.20041951348654
MAGI,BT6,Post-exposure,Control,154.563,196.025,78.84861624792755
MAGI,BT6,Post-exposure,Control,92.004,205.361,44.801106344437365
MAGI,BT7,Post-exposure,Heat-stressed,163.195,199.402,81.84220820252555
MAGI,BT7,Post-exposure,Heat-stressed,179.827,207.821,86.5297539709654
MAGI,BT8,Post-exposure,Control,116.367,187.772,61.972498562085946
MAGI,BT8,Post-exposure,Control,150.038,197.243,76.06759175230555
MAGJ,BT1,Post-exposure,Control,143.676,211.531,67.9219594291144
MAGJ,BT1,Post-exposure,Control,140.417,203.295,69.07056248309108
MAGJ,BT2,Post-exposure,Control,151.659,197.24,76.89059014398701
MAGJ,BT2,Post-exposure,Control,108.33,207.144,52.29695284439809
MAGJ,BT3,Post-exposure,Heat-stressed,154.168,207.552,74.27921677459143
MAGJ,BT3,Post-exposure,Heat-stressed,137.689,216.787,63.51349481288084
MAGJ,BT4,Post-exposure,Heat-stressed,139.646,191.086,73.08018379159121
MAGJ,BT4,Post-exposure,Heat-stressed,143.363,191.379,74.91051787291187
MAGJ,BT5,Post-exposure,Heat-stressed,133.354,188.917,70.58867121540148
MAGJ,BT5,Post-exposure,Heat-stressed,119.329,189.455,62.98540550526509
MAGJ,BT6,Post-exposure,Control,162.879,185.928,87.60326578030205
MAGJ,BT6,Post-exposure,Control,111.496,186.141,59.89867895842399
MAGJ,BT7,Post-exposure,Heat-stressed,197.15,190.209,103.64914383651667
MAGJ,BT7,Post-exposure,Heat-stressed,211.52,198.396,106.61505272283716
MAGJ,BT8,Post-exposure,Control,148.135,207.636,71.34360130227898
MAGJ,BT8,Post-exposure,Control,121.331,207.63,58.43616047777297
MAGK,BT1,Post-exposure,Control,163.379,207.251,78.83146522815329
MAGK,BT1,Post-exposure,Control,141.085,207.424,68.01768358531316
MAGK,BT2,Post-exposure,Control,145.818,198.266,73.54664945073792
MAGK,BT2,Post-exposure,Control,145.371,198.727,73.15110679474857
MAGK,BT3,Post-exposure,Heat-stressed,179.736,201.068,89.39065390813057
MAGK,BT3,Post-exposure,Heat-stressed,89.838,201.013,44.69263181983255
MAGK,BT4,Post-exposure,Heat-stressed,87.779,190.077,46.180758324258065
MAGK,BT4,Post-exposure,Heat-stressed,95.378,190.416,50.089278211914966
MAGK,BT5,Post-exposure,Heat-stressed,115.117,198.534,57.98351919570452
MAGK,BT5,Post-exposure,Heat-stressed,154.567,198.283,77.9527241367137
MAGK,BT6,Post-exposure,Control,154.86,198.282,78.10088661603172
MAGK,BT6,Post-exposure,Control,133.707,198.55,67.341727524553
MAGK,BT7,Post-exposure,Heat-stressed,116.886,186.057,62.822683371224954
MAGK,BT7,Post-exposure,Heat-stressed,143.521,186.217,77.0719107278068
MAGK,BT8,Post-exposure,Control,122.992,192.37,63.93512501949369
MAGK,BT8,Post-exposure,Control,133.992,202.018,66.32676296171628
MAGL,BT1,Post-exposure,Control,137.546,190.221,72.30852534683342
MAGL,BT1,Post-exposure,Control,139.913,190.794,73.33197060704215
MAGL,BT2,Post-exposure,Control,93.434,202.537,46.13181789006453
MAGL,BT2,Post-exposure,Control,81.249,202.595,40.10414867099385
MAGL,BT3,Post-exposure,Heat-stressed,228.34,190.986,119.5585016702795
MAGL,BT3,Post-exposure,Heat-stressed,217.837,191.065,114.01198544997774
MAGL,BT4,Post-exposure,Heat-stressed,213.666,180.649,118.27687947345404
MAGL,BT4,Post-exposure,Heat-stressed,216.627,181.586,119.29719251484146
MAGL,BT5,Post-exposure,Heat-stressed,229.912,178.409,128.86793827665645
MAGL,BT5,Post-exposure,Heat-stressed,211.983,179.212,118.28616387295494
MAGL,BT6,Post-exposure,Control,124.642,203.098,61.37037292341627
MAGL,BT6,Post-exposure,Control,121.133,203.082,59.6473345742114
MAGL,BT7,Post-exposure,Heat-stressed,191.436,179.485,106.65849513886954
MAGL,BT7,Post-exposure,Heat-stressed,201.988,179.409,112.58521032947067
MAGL,BT8,Post-exposure,Control,101.474,192.886,52.608276391236274
MAGL,BT8,Post-exposure,Control,89.331,192.942,46.29940603912057
MAGM,BT1,Post-exposure,Control,113.345,194.197,58.365989175939895
MAGM,BT1,Post-exposure,Control,91.167,194.536,46.86381955010898
MAGM,BT2,Post-exposure,Control,95.709,204.16,46.879408307210035
MAGM,BT2,Post-exposure,Control,101.361,211.929,47.82781025720879
MAGM,BT3,Post-exposure,Heat-stressed,158.686,207.749,76.38352049829362
MAGM,BT3,Post-exposure,Heat-stressed,129.249,207.995,62.14043606817471
MAGM,BT4,Post-exposure,Heat-stressed,81.155,180.705,44.91021277773166
MAGM,BT4,Post-exposure,Heat-stressed,91.343,178.607,51.14189253500703
MAGM,BT5,Post-exposure,Heat-stressed,87.426,184.591,47.36200573159038
MAGM,BT5,Post-exposure,Heat-stressed,109.441,184.76,59.23414158908855
MAGM,BT6,Post-exposure,Control,111.523,199.934,55.77990736943191
MAGM,BT6,Post-exposure,Control,111.928,199.938,55.981354219808146
MAGM,BT7,Post-exposure,Heat-stressed,94.215,180.083,52.31754246652932
MAGM,BT7,Post-exposure,Heat-stressed,231.568,180.304,128.43198154228415
MAGM,BT8,Post-exposure,Control,99.754,198.616,50.22455391307851
MAGM,BT8,Post-exposure,Control,105.235,198.781,52.9401703382114
MAGN,BT1,Post-exposure,Control,104.968,202.056,51.94995446806826
MAGN,BT1,Post-exposure,Control,101.348,194.06,52.22508502524992
MAGN,BT2,Post-exposure,Control,107.918,189.093,57.07138815291947
MAGN,BT2,Post-exposure,Control,143.305,189.221,75.73419440759747
MAGN,BT3,Post-exposure,Heat-stressed,149.425,190.096,78.60502062115984
MAGN,BT3,Post-exposure,Heat-stressed,168.061,190.16,88.37873369793859
MAGN,BT4,Post-exposure,Heat-stressed,101.765,190.402,53.447442778962404
MAGN,BT4,Post-exposure,Heat-stressed,126.18,190.294,66.30792352885535
MAGN,BT5,Post-exposure,Heat-stressed,139.39,185.029,75.33413681098638
MAGN,BT5,Post-exposure,Heat-stressed,123.149,185.259,66.47396347815761
MAGN,BT6,Post-exposure,Control,107.471,177.392,60.583904572923245
MAGN,BT6,Post-exposure,Control,84.847,185.951,45.628687127253954
MAGN,BT7,Post-exposure,Heat-stressed,124.252,190.394,65.26045988844186
MAGN,BT7,Post-exposure,Heat-stressed,123.455,196.696,62.764367348598846
MAGN,BT8,Post-exposure,Control,92.488,187.896,49.222974411376505
MAGN,BT8,Post-exposure,Control,91.972,197.674,46.527110292704144
MAGO,BT1,Post-exposure,Control,128.635,201.351,63.88595040501413
MAGO,BT1,Post-exposure,Control,130.685,201.476,64.86380511822748
MAGO,BT2,Post-exposure,Control,106.395,210.16,50.62571374191093
MAGO,BT2,Post-exposure,Control,145.393,218.798,66.45079022660171
MAGO,BT3,Post-exposure,Heat-stressed,116.343,206.907,56.22961040467457
MAGO,BT3,Post-exposure,Heat-stressed,99.865,213.356,46.806745533287085
MAGO,BT4,Post-exposure,Heat-stressed,116.074,196.998,58.92141036964842
MAGO,BT4,Post-exposure,Heat-stressed,89.891,196.801,45.676089044262994
MAGO,BT5,Post-exposure,Heat-stressed,116.826,190.042,61.4737794803254
MAGO,BT5,Post-exposure,Heat-stressed,106.281,198.231,53.61472221801837
MAGO,BT6,Post-exposure,Control,120.496,202.534,59.49420837982758
MAGO,BT6,Post-exposure,Control,91.11,211.334,43.1118513821723
MAGO,BT7,Post-exposure,Heat-stressed,234.518,189.671,123.64462674842227
MAGO,BT7,Post-exposure,Heat-stressed,112.588,189.779,59.32584743306688
MAGO,BT8,Post-exposure,Control,110.765,204.672,54.11829659161976
MAGO,BT8,Post-exposure,Control,120.748,213.817,56.472591047484535
