Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN13,BT6,Pre-exposure,Control,151.33,203.729,74.2800484957959
ATEN13,BT6,Pre-exposure,Control,87.808,203.515,43.145714075129604
ATEN13,BT7,Pre-exposure,Heat-stressed,95.329,203.179,46.918726836927036
ATEN13,BT7,Pre-exposure,Heat-stressed,154.382,202.597,76.20152322097563
ATEN13,BT8,Pre-exposure,Control,104.318,199.956,52.17047750505112
ATEN13,BT8,Pre-exposure,Control,83.428,199.312,41.857991490728104
ATEN14,BT1,Pre-exposure,Control,81.04,164.624,49.22733015842162
ATEN14,BT1,Pre-exposure,Control,75.579,194.353,38.8874882301791
ATEN14,BT2,Pre-exposure,Control,71.717,194.878,36.800972916388716
ATEN14,BT2,Pre-exposure,Control,107.31,194.439,55.1895453072686
ATEN14,BT3,Pre-exposure,Heat-stressed,111.574,186.608,59.790577038497815
ATEN14,BT3,Pre-exposure,Heat-stressed,89.651,192.376,46.60196698132823
ATEN14,BT4,Pre-exposure,Heat-stressed,119.318,195.339,61.082528322557195
ATEN14,BT4,Pre-exposure,Heat-stressed,106.418,194.691,54.659948328376764
ATEN14,BT5,Pre-exposure,Heat-stressed,116.674,163.951,71.16394532512763
ATEN14,BT5,Pre-exposure,Heat-stressed,79.883,206.811,38.62608855428386
ATEN14,BT6,Pre-exposure,Control,134.844,207.325,65.03991317979019
ATEN14,BT6,Pre-exposure,Control,122.537,207.371,59.09071181602056
ATEN14,BT7,Pre-exposure,Heat-stressed,95.383,207.347,46.0016301176289
ATEN14,BT7,Pre-exposure,Heat-stressed,121.115,207.296,58.42611531336832
ATEN14,BT8,Pre-exposure,Control,114.423,203.871,56.125196815633416
ATEN14,BT8,Pre-exposure,Control,112.108,208.159,53.856907460162674
ATEN15,BT1,Pre-exposure,Control,71.475,157.887,45.26971821619259
ATEN15,BT1,Pre-exposure,Control,70.504,157.805,44.677925287538415
ATEN15,BT2,Pre-exposure,Control,71.542,196.896,36.33491792621486
ATEN15,BT2,Pre-exposure,Control,100.75,196.393,51.30019909059895
ATEN15,BT3,Pre-exposure,Heat-stressed,107.133,195.909,54.68508338054914
ATEN15,BT3,Pre-exposure,Heat-stressed,93.011,197.947,46.98783007572734
ATEN15,BT4,Pre-exposure,Heat-stressed,116.904,193.45,60.43111915223572
ATEN15,BT4,Pre-exposure,Heat-stressed,107.967,195.906,55.11163517197023
ATEN15,BT5,Pre-exposure,Heat-stressed,59.1,169.294,34.90968374543693
ATEN15,BT5,Pre-exposure,Heat-stressed,70.634,171.066,41.290496065845936
ATEN15,BT6,Pre-exposure,Control,84.88,205.997,41.204483560440195
ATEN15,BT6,Pre-exposure,Control,88.842,206.447,43.033805286586876
ATEN15,BT7,Pre-exposure,Heat-stressed,105.965,207.256,51.12759099857181
ATEN15,BT7,Pre-exposure,Heat-stressed,84.864,207.464,40.90541009524544
ATEN15,BT8,Pre-exposure,Control,88.748,207.256,42.82047323117305
ATEN15,BT8,Pre-exposure,Control,107.538,207.458,51.83603428163773
ATEN16,BT1,Pre-exposure,Control,86.626,161.891,53.508842369248455
ATEN16,BT1,Pre-exposure,Control,74.188,200.429,37.014603675116874
ATEN16,BT2,Pre-exposure,Control,129.537,199.667,64.876519404809
ATEN16,BT2,Pre-exposure,Control,156.743,199.432,78.5947089734847
ATEN16,BT3,Pre-exposure,Heat-stressed,121.943,200.045,60.95778449848785
ATEN16,BT3,Pre-exposure,Heat-stressed,116.095,199.285,58.25576435757834
ATEN16,BT4,Pre-exposure,Heat-stressed,115.023,201.48,57.089041095890416
