sample,analysis_type_uid,PC1,PC2,PC3,PC4
C3u-C3xu-C3-C115,373662,0.11766015699658104,-0.019067518734786713,0.013687065164615332,0.0
C3u-C3-C115-C3xt,373660,-0.023427882430886813,0.06218518230661336,0.0005399352371426324,0.0
C3/C3u-C115-C21ab-C3ge,373445,-0.2015853298089741,-0.026960609980114743,0.0002280737524633626,0.0
C3u-C3xu-C3-C115-C3xv,373661,0.10735305524327993,-0.016157053591711976,-0.014455074154222043,0.0
proportion_explained,0,0.922195080900799,0.07230910722585701,0.005495811873344009,0.0
