sample,analysis_type_uid,PC1,PC2,PC3,PC4
C3u-C3xu-C3-C115,373662,0.2121624950100758,-0.02887328687707987,-0.021713086503231505,0.0
C3u-C3-C115-C3xt,373660,-0.047578839564637425,0.09309428394434799,-0.0013458851913188518,0.0
C3/C3u-C115-C21ab-C3ge,373445,-0.34887612107544047,-0.041995333251450266,-0.0005496801764619584,0.0
C3u-C3xu-C3-C115-C3xv,373661,0.1842924656300018,-0.02222566381581777,0.02360865187101065,0.0
proportion_explained,0,0.9407225223819716,0.05449893595377079,0.004778541664257505,0.0
