sample,analysis_type_uid,PC1,PC2,PC3,PC4
C3u-C3xu-C3-C115,373662,0.11546150564837958,-0.02371296867549718,0.02282358010051946,0.0
C3u-C3-C115-C3xt,373660,-0.03400792016448949,0.10378109444727537,-0.0014323560903469466,0.0
C3/C3u-C115-C21ab-C3ge,373445,-0.21987620410715256,-0.04842481408835924,-0.0007733010861532438,0.0
C3u-C3xu-C3-C115-C3xv,373661,0.13842261862326252,-0.031643311683419044,-0.020617922924019132,0.0
proportion_explained,0,0.8399157495205112,0.15036652202114778,0.00971772845834102,0.0
