Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. digitifera,0,ADIG13,8,0,8,ADIG13_2,2,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_3,3,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_4,4,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_5,5,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_6,6,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_7,7,1
A. digitifera,0,ADIG13,8,0,8,ADIG13_8,8,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_1,1,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_2,2,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_3,3,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_4,4,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_5,5,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_6,6,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_7,7,1
A. digitifera,0,ADIG14,8,0,8,ADIG14_8,8,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_1,1,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_2,2,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_3,3,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_4,4,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_5,5,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_6,6,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_7,7,1
A. digitifera,0,ADIG15,8,0,8,ADIG15_8,8,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_1,1,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_2,2,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_3,3,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_4,4,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_5,5,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_6,6,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_7,7,1
A. digitifera,0,ADIG16,8,0,8,ADIG16_8,8,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_1,1,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_2,2,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_3,3,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_4,4,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_5,5,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_6,6,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_7,7,1
A. digitifera,0,ADIG17,8,0,8,ADIG17_8,8,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_1,1,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_2,2,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_3,3,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_4,4,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_5,5,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_6,6,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_7,7,1
A. digitifera,0,ADIG18,8,0,8,ADIG18_8,8,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_1,1,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_2,2,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_3,3,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_4,4,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_5,5,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_6,6,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_7,7,1
A. digitifera,0,ADIG19,8,0,8,ADIG19_8,8,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_1,1,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_2,2,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_3,3,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_4,4,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_5,5,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_6,6,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_7,7,1
A. digitifera,0,ADIG20,8,0,8,ADIG20_8,8,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_1,1,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_2,2,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_3,3,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_4,4,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_5,5,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_6,6,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_7,7,1
A. digitifera,0,ADIG21,8,0,8,ADIG21_8,8,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_1,1,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_2,2,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_3,3,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_4,4,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_5,5,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_6,6,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_7,7,1
A. digitifera,0,ADIG22,8,0,8,ADIG22_8,8,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_1,1,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_2,2,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_3,3,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_4,4,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_5,5,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_6,6,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_7,7,1
A. digitifera,0,ADIG23,8,0,8,ADIG23_8,8,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_1,1,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_2,2,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_3,3,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_4,4,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_5,5,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_6,6,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_7,7,1
A. digitifera,0,ADIG24,8,0,8,ADIG24_8,8,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_1,1,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_2,2,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_3,3,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_4,4,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_5,5,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_6,6,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_7,7,1
A. digitifera,0,ADIG25,8,0,8,ADIG25_8,8,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_1,1,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_2,2,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_3,3,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_4,4,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_5,5,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_6,6,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_7,7,1
A. digitifera,0,ADIG26,8,0,8,ADIG26_8,8,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_1,1,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_2,2,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_3,3,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_4,4,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_5,5,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_6,6,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_7,7,1
A. digitifera,0,ADIG27,8,0,8,ADIG27_8,8,1
A. digitifera,0,ADIG28,8,0,8,ADIG28_1,1,1
A. digitifera,0,ADIG28,8,0,8,ADIG28_2,2,1
A. digitifera,0,ADIG28,8,0,8,ADIG28_3,3,1
A. digitifera,0,ADIG28,8,0,8,ADIG28_4,4,1
A. digitifera,0,ADIG28,8,0,8,ADIG28_5,5,1
