ColonyID,Cluster,HeatTolerance
M01,1,Low
M03,1,Low
M04,1,Low
M08,1,Low
M09,1,Low
M14,1,Low
M15,1,Low
M16,1,Low
M17,1,Low
M18,1,Low
M19,1,Low
M21,1,Low
M24,1,Low
M26,1,Low
M29,1,Low
M02,1,Low
M07,1,Low
M13,1,Low
M22,1,Low
M28,1,Low
M30,1,Low
M25,1,Low
M05,2,High
M06,2,High
M20,2,High
M23,2,High
M10,2,High
M12,2,High
M11,2,High
M27,2,High
