ColonyID,Cluster,HeatTolerance
T03,1,Low
T05,1,Low
T13,1,Low
T14,1,Low
T18,1,Low
T19,1,Low
T20,1,Low
T21,1,Low
T22,1,Low
T28,1,Low
T29,1,Low
T30,1,Low
T10,1,Low
T17,1,Low
T26,1,Low
T16,1,Low
T02,1,Low
T11,1,Low
T27,1,Low
T06,1,Low
T12,1,Low
T15,2,High
T01,2,High
T04,2,High
T23,2,High
