Comparison,diff,lwr,upr,p adj
A. millepora-A. digitifera,-0.1560459204597351,-0.23679777563596327,-0.07529406528350692,3.9284176079124045e-5
A. tenuis-A. digitifera,-0.24999017474687057,-0.3352316171261832,-0.16474873236755794,1.7832113563542862e-9
A. tenuis-A. millepora,-0.09394425428713549,-0.18448515791380915,-0.0034033506604618374,0.04014984646337927
