Comparison,diff,lwr,upr,p adj
A. millepora-A. digitifera,-0.07029742600478348,-0.11932235244662262,-0.02127249956294433,0.002703259329997265
A. tenuis-A. digitifera,-0.12441235327368227,-0.17616293452438123,-0.07266177202298332,3.812332719510536e-7
A. tenuis-A. millepora,-0.0541149272688988,-0.10908284262624171,8.529880884441121e-4,0.05463153974932489
