Df,SumOfSqs,R2,F,Pr(>F)
2,0.6624705847464394,0.22068689347779472,13.026339496946859,0.001
92,2.3393868174154906,0.7793131065222053,NA,NA
94,3.0018574021619298,1,NA,NA
