Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ADIG28,BT8,Pre-exposure,Control,105.002,184.537,56.9002422278459
ADIG29,BT1,Pre-exposure,Control,96.864,181.128,53.47820325957334
ADIG29,BT1,Pre-exposure,Control,120.895,181.25,66.70068965517241
ADIG29,BT2,Pre-exposure,Control,105.138,180.201,58.344848252784395
ADIG29,BT2,Pre-exposure,Control,114.198,190.905,59.81928184175375
ADIG29,BT3,Pre-exposure,Heat-stressed,109.822,190.067,57.78067734009586
ADIG29,BT3,Pre-exposure,Heat-stressed,118.257,197.363,59.91852576217427
ADIG29,BT4,Pre-exposure,Heat-stressed,119.646,187.821,63.702141933010694
ADIG29,BT4,Pre-exposure,Heat-stressed,113.109,197.442,57.287203330598345
ADIG29,BT5,Pre-exposure,Heat-stressed,117.332,181.944,64.48797432176934
ADIG29,BT5,Pre-exposure,Heat-stressed,106.828,192.426,55.51640630684004
ADIG29,BT6,Pre-exposure,Control,96.95,185.976,52.13038241493526
ADIG29,BT6,Pre-exposure,Control,119.801,196.615,60.931770210818094
ADIG29,BT7,Pre-exposure,Heat-stressed,135.23,199.095,67.9223486275396
ADIG29,BT7,Pre-exposure,Heat-stressed,142.179,207.898,68.38882528932457
ADIG29,BT8,Pre-exposure,Control,116.546,189.809,61.40172489186499
ADIG29,BT8,Pre-exposure,Control,106.491,189.703,56.135643611329286
ADIG30,BT1,Pre-exposure,Control,114.857,178.948,64.18456758387912
ADIG30,BT1,Pre-exposure,Control,84.367,186.84,45.15467779918647
ADIG30,BT2,Pre-exposure,Control,129.528,189.33,68.4138805260656
ADIG30,BT2,Pre-exposure,Control,99.165,198.203,50.03203786017366
ADIG30,BT3,Pre-exposure,Heat-stressed,141.004,188.5,74.80318302387268
ADIG30,BT3,Pre-exposure,Heat-stressed,112.104,198.582,56.45224642716863
ADIG30,BT4,Pre-exposure,Heat-stressed,94.212,187.829,50.15838874721156
ADIG30,BT4,Pre-exposure,Heat-stressed,98.169,188.152,52.17536885071644
ADIG30,BT5,Pre-exposure,Heat-stressed,120.001,183.509,65.39243306867783
ADIG30,BT5,Pre-exposure,Heat-stressed,112.149,192.381,58.295257847708456
ADIG30,BT6,Pre-exposure,Control,112.519,188.636,59.64874149154987
ADIG30,BT6,Pre-exposure,Control,98.636,198.497,49.69143110475221
ADIG30,BT7,Pre-exposure,Heat-stressed,97.796,186.513,52.43387860363621
ADIG30,BT7,Pre-exposure,Heat-stressed,140.84,195.466,72.05345175119969
ADIG30,BT8,Pre-exposure,Control,119.794,184.142,65.05522911665997
ADIG30,BT8,Pre-exposure,Control,97.861,194.606,50.2867331942489
ADIG31,BT1,Pre-exposure,Control,95.627,179.924,53.14855161068006
ADIG31,BT1,Pre-exposure,Control,126.877,189.8,66.8477344573235
ADIG31,BT2,Pre-exposure,Control,131.273,186.702,70.31151246371222
ADIG31,BT2,Pre-exposure,Control,88.679,195.355,45.39377031557933
ADIG31,BT3,Pre-exposure,Heat-stressed,119.432,194.851,61.294014400747244
ADIG31,BT3,Pre-exposure,Heat-stressed,146.019,204.087,71.54742830263565
ADIG31,BT4,Pre-exposure,Heat-stressed,136.139,185.335,73.45563439177705
ADIG31,BT4,Pre-exposure,Heat-stressed,121.149,196.715,61.586050885799246
ADIG31,BT5,Pre-exposure,Heat-stressed,124.265,173.276,71.71506729148872
ADIG31,BT5,Pre-exposure,Heat-stressed,113.326,178.876,63.35450256043293
ADIG31,BT6,Pre-exposure,Control,133.158,181.148,73.50784993485989
ADIG31,BT6,Pre-exposure,Control,105.894,193.474,54.73293569161748
ADIG31,BT7,Pre-exposure,Heat-stressed,104.772,193.105,54.25649258175604
ADIG31,BT7,Pre-exposure,Heat-stressed,91.614,201.253,45.52180588612344
ADIG31,BT8,Pre-exposure,Control,88.343,167.902,52.615811604388284
ADIG31,BT8,Pre-exposure,Control,88.211,175.23,50.34012440792102
ADIG32,BT1,Pre-exposure,Control,135.133,182.867,73.89687587153506
ADIG32,BT1,Pre-exposure,Control,142.059,193.428,73.4428314411564
ADIG32,BT2,Pre-exposure,Control,152.683,173.538,87.982459173207
ADIG32,BT2,Pre-exposure,Control,136.651,183.6,74.42864923747278
ADIG32,BT3,Pre-exposure,Heat-stressed,154.872,185.209,83.62012645173832
ADIG32,BT3,Pre-exposure,Heat-stressed,154.133,194.594,79.20747813396098
ADIG32,BT4,Pre-exposure,Heat-stressed,142.198,185.319,76.7314738370054
ADIG32,BT4,Pre-exposure,Heat-stressed,178.669,192.281,92.92077740390367
ADIG32,BT5,Pre-exposure,Heat-stressed,90.767,177.041,51.268915110059254
ADIG32,BT5,Pre-exposure,Heat-stressed,129.759,186.348,69.63262283469636
ADIG32,BT6,Pre-exposure,Control,112.803,181.114,62.282871561557904
ADIG32,BT6,Pre-exposure,Control,148.273,190.369,77.88715599703733
ADIG32,BT7,Pre-exposure,Heat-stressed,144.893,180.606,80.22601685436808
ADIG32,BT7,Pre-exposure,Heat-stressed,132.285,195.07,67.81411800891988
ADIG32,BT8,Pre-exposure,Control,123.903,188.391,65.76906540121344
ADIG32,BT8,Pre-exposure,Control,110.272,197.022,55.9693841296911
ADIG33,BT1,Pre-exposure,Control,103.526,182,56.882417582417574
ADIG33,BT1,Pre-exposure,Control,107.668,191.886,56.11039888266992
ADIG33,BT2,Pre-exposure,Control,140.091,181.04,77.38124171453823
ADIG33,BT2,Pre-exposure,Control,147.214,193.632,76.02772269046439
ADIG33,BT3,Pre-exposure,Heat-stressed,125.642,181.729,69.13701170424092
ADIG33,BT3,Pre-exposure,Heat-stressed,113.092,192.509,58.746344326758745
ADIG33,BT4,Pre-exposure,Heat-stressed,143.46,183.334,78.25062454318348
ADIG33,BT4,Pre-exposure,Heat-stressed,126.723,190.585,66.4915916782538
ADIG33,BT5,Pre-exposure,Heat-stressed,111.66,184.184,60.6241584502454
