ColonyID,Cluster,HeatTolerance
M01,2,High
M02,2,High
M03,2,High
M04,2,High
M05,1,Low
M06,1,Low
M07,2,High
M08,2,High
M09,2,High
M10,1,Low
M11,1,Low
M12,1,Low
M13,2,High
M14,2,High
M15,2,High
M16,2,High
M17,2,High
M18,2,High
M19,2,High
M20,1,Low
M21,2,High
M22,2,High
M23,1,Low
M24,2,High
M25,2,High
M26,2,High
M27,1,Low
M28,2,High
M29,2,High
M30,2,High
