ColonyID,Cluster,HeatTolerance
D01,1,Low
D02,2,High
D03,2,High
D04,2,High
D05,1,Low
D06,2,High
D07,1,Low
D08,2,High
D09,2,High
D10,1,Low
D11,2,High
D12,1,Low
D13,2,High
D14,2,High
D15,2,High
D16,2,High
D17,2,High
D18,2,High
D19,1,Low
D20,2,High
D21,2,High
D22,2,High
D23,1,Low
D24,2,High
D25,2,High
D26,2,High
D27,1,Low
D28,2,High
D29,2,High
D30,2,High
D31,2,High
D32,2,High
D33,2,High
D34,2,High
D35,2,High
D36,2,High
D37,2,High
D38,2,High
D39,2,High
D40,2,High
